Date,close,ret,realized_vol,vol_pctile,recent_high_20,recent_low_20,compressed
2026-03-16,667.207886,0.010177,0.122453,0.515873,691.262207,660.486206,False
2026-03-17,668.963013,0.002631,0.122784,0.519841,691.262207,660.486206,False
2026-03-18,659.62854,-0.013954,0.129028,0.56746,691.262207,660.486206,False
2026-03-19,658.002991,-0.002464,0.129014,0.56746,691.262207,659.62854,False
2026-03-20,648.570007,-0.014336,0.131669,0.611111,691.262207,658.002991,False
2026-03-23,655.380005,0.0105,0.136802,0.686508,691.262207,648.570007,False
2026-03-24,653.179993,-0.003357,0.132546,0.626984,691.262207,648.570007,False
2026-03-25,656.820007,0.005573,0.129806,0.583333,691.262207,648.570007,False
2026-03-26,645.090027,-0.017859,0.140526,0.718254,687.422607,648.570007,False
2026-03-27,634.090027,-0.017052,0.148929,0.765873,684.51062,645.090027,False
2026-03-30,631.969971,-0.003343,0.14807,0.765873,684.51062,634.090027,False
2026-03-31,650.340027,0.029068,0.187382,0.865079,683.263977,631.969971,False
2026-04-01,655.23999,0.007534,0.187699,0.869048,683.263977,631.969971,False
2026-04-02,655.830017,0.0009,0.187482,0.869048,679.454407,631.969971,False
2026-04-06,658.929993,0.004727,0.183742,0.865079,676.422729,631.969971,False
2026-04-07,659.219971,0.00044,0.180337,0.865079,676.422729,631.969971,False
2026-04-08,676.01001,0.02547,0.203679,0.896825,675.335632,631.969971,False
2026-04-09,679.909973,0.005769,0.204571,0.900794,676.01001,631.969971,False
2026-04-10,679.460022,-0.000662,0.196144,0.884921,679.909973,631.969971,False
2026-04-13,686.099976,0.009772,0.196629,0.892857,679.909973,631.969971,False
2026-04-14,694.460022,0.012185,0.197865,0.900794,686.099976,631.969971,False
2026-04-15,699.940002,0.007891,0.198938,0.904762,694.460022,631.969971,False
2026-04-16,701.659973,0.002457,0.189412,0.884921,699.940002,631.969971,False
2026-04-17,710.140015,0.012086,0.190718,0.888889,701.659973,631.969971,False
2026-04-20,708.719971,-0.002,0.179798,0.865079,710.140015,631.969971,False
2026-04-21,704.080017,-0.006547,0.182422,0.873016,710.140015,631.969971,False
2026-04-22,711.210022,0.010127,0.181828,0.873016,710.140015,631.969971,False
2026-04-23,708.450012,-0.003881,0.184052,0.884921,711.210022,631.969971,False
2026-04-24,713.940002,0.007749,0.165495,0.84127,711.210022,631.969971,False
2026-04-27,715.169983,0.001723,0.144155,0.75,713.940002,631.969971,False
2026-04-28,711.690002,-0.004866,0.145568,0.753968,715.169983,631.969971,False
2026-04-29,711.580017,-0.000155,0.118601,0.448413,715.169983,650.340027,False
2026-04-30,718.659973,0.00995,0.119716,0.456349,715.169983,655.23999,False
2026-05-01,720.650024,0.002769,0.11912,0.452381,718.659973,655.830017,False
2026-05-04,718.01001,-0.003663,0.122808,0.535714,720.650024,658.929993,False
2026-05-05,723.77002,0.008022,0.122571,0.531746,720.650024,659.219971,False
2026-05-06,733.830017,0.013899,0.101681,0.297619,723.77002,676.01001,False
2026-05-07,731.580017,-0.003066,0.104589,0.337302,733.830017,679.460022,False
2026-05-08,737.619995,0.008256,0.104458,0.337302,733.830017,679.460022,False
2026-05-11,739.299988,0.002278,0.102462,0.305556,737.619995,686.099976,False
2026-05-12,738.179993,-0.001515,0.099005,0.246032,739.299988,694.460022,False
2026-05-13,742.309998,0.005595,0.097853,0.238095,739.299988,699.940002,False
2026-05-14,748.169983,0.007894,0.099373,0.257937,742.309998,701.659973,False
2026-05-15,739.169983,-0.012029,0.107421,0.416667,748.169983,704.080017,False
2026-05-18,738.650024,-0.000703,0.106874,0.400794,748.169983,704.080017,False
2026-05-19,733.72998,-0.006661,0.106996,0.40873,748.169983,704.080017,False
2026-05-20,741.25,0.010249,0.107119,0.420635,748.169983,708.450012,False
2026-05-21,742.719971,0.001983,0.104779,0.361111,748.169983,708.450012,False
2026-05-22,745.640015,0.003932,0.103049,0.325397,748.169983,711.580017,False
2026-05-26,750.590027,0.006639,0.104221,0.349206,748.169983,711.580017,False
2026-05-27,750.460022,-0.000173,0.101144,0.305556,750.590027,711.580017,False
2026-05-28,754.599976,0.005517,0.101043,0.305556,750.590027,711.580017,False
2026-05-29,756.47998,0.002491,0.097608,0.238095,754.599976,718.01001,False
2026-06-01,758.539978,0.002723,0.097607,0.238095,756.47998,718.01001,False
2026-06-02,759.570007,0.001358,0.094936,0.222222,758.539978,718.01001,False
2026-06-03,754.23999,-0.007017,0.09896,0.261905,759.570007,723.77002,False
2026-06-04,757.090027,0.003779,0.088945,0.15873,759.570007,731.580017,True
2026-06-05,737.549988,-0.025809,0.131261,0.714286,759.570007,731.580017,False
2026-06-08,739.219971,0.002264,0.128217,0.65873,759.570007,733.72998,False
2026-06-09,737.049988,-0.002936,0.128399,0.666667,759.570007,733.72998,False
2026-06-10,725.429993,-0.015766,0.1399,0.821429,759.570007,733.72998,False
2026-06-11,737.76001,0.016997,0.152165,0.916667,759.570007,725.429993,False
2026-06-12,741.75,0.005408,0.150646,0.904762,759.570007,725.429993,False
