spread,h,episode,start,end,n_flat_obs,delta_alone_ann,delta_drop_ann,_d_drop,same_sign_as_full
10Y-3M,126,2,2011-08-01,2013-05-17,437,-0.0366111147341775,-0.048736147517777835,-0.024368073758888917,True
10Y-3M,126,3,2015-01-14,2015-02-06,17,-0.2101216291355508,-0.04472307740104355,-0.022361538700521776,True
10Y-3M,126,4,2015-03-25,2015-04-20,4,-0.2165474668449704,-0.045776363381068795,-0.022888181690534398,True
10Y-3M,126,5,2015-08-25,2015-08-25,1,-0.06246369918573956,-0.04610626292465837,-0.023053131462329186,True
10Y-3M,126,6,2015-09-30,2015-11-02,19,-0.0698564917232111,-0.0458890317004269,-0.02294451585021345,True
10Y-3M,126,7,2015-11-18,2016-12-08,258,-0.05970274106323839,-0.04412581259936481,-0.022062906299682404,True
10Y-3M,126,8,2017-01-06,2017-01-18,7,0.043662469773012955,-0.04642639130854356,-0.02321319565427178,False
10Y-3M,126,9,2017-02-08,2020-03-10,763,-0.009476064069870671,-0.06833615097113221,-0.03416807548556611,True
10Y-3M,126,10,2022-07-14,2024-04-05,430,-0.09995746970722841,-0.03156216394273252,-0.01578108197136626,True
10Y-3M,126,11,2024-05-16,2024-05-16,1,-0.009701158792169193,-0.04613238299416014,-0.02306619149708007,True
10Y-3M,126,12,2024-06-04,2024-09-18,65,-0.09883034639088391,-0.044362547183838544,-0.022181273591919272,True
10Y-2Y,21,0,2011-08-04,2013-01-29,373,-0.021542623891400766,-0.02771750414401742,-0.0023097920120014517,True
10Y-2Y,21,1,2013-02-19,2013-05-17,50,0.05451657217729529,-0.028621740884937227,-0.002385145073744769,False
10Y-2Y,21,2,2014-12-08,2015-05-04,101,-0.049339465936521866,-0.025415273012530017,-0.0021179394177108348,True
10Y-2Y,21,3,2015-05-27,2015-06-01,4,-0.4356415196989887,-0.02579427521124817,-0.002149522934270681,True
10Y-2Y,21,4,2015-07-23,2016-12-08,347,-0.04808661178121957,-0.02221467931469555,-0.001851223276224629,True
10Y-2Y,21,5,2016-12-29,2017-01-20,14,-0.12695891106495494,-0.02590384499317306,-0.0021586537494310883,True
10Y-2Y,21,6,2017-02-08,2019-12-16,711,-0.006843684187584968,-0.03708124996537474,-0.0030901041637812284,True
