scope,year,n_winter,n_summer,winter_bps,summer_bps,spread_bps
Equity,2014,123,129,0.18697701662007032,3.563063169601195,-3.3760861529811246
Equity,2015,124,128,1.2061501060983797,-5.428165903334732,6.634316009433112
Equity,2016,124,128,6.418890603743861,5.2335962420620925,1.185294361681769
Equity,2017,122,129,6.287796980063004,7.4165688229949005,-1.128771842931896
Equity,2018,122,129,-3.5375303400527147,-3.5044168333848753,-0.0331135066678395
Equity,2019,123,129,14.688272640750172,1.6294106024766344,13.058862038273539
Equity,2020,125,128,1.4549615867383578,6.168115915682483,-4.713154328944125
Equity,2021,125,127,9.679548829748162,4.770895462427066,4.908653367321097
Equity,2022,124,127,2.889801374462539,-2.085906931395972,4.975708305858511
Equity,2023,122,128,9.964291876218901,-1.7588431068963652,11.723134983115266
Equity,2024,124,128,4.015737221252878,6.737091321992227,-2.7213541007393487
Equity,2025,122,128,1.9028687823747001,13.915552456498641,-12.012683674123943
Equity,2026,82,30,18.127449616275015,4.0337340887988935,14.09371552747612
Bond,2007,49,129,4.301814068191475,2.0200703151622603,2.2817437530292146
Bond,2008,124,129,12.19861647294741,-6.674036971126136,18.872653444073546
Bond,2009,124,128,-3.5128575403392914,5.931458567173106,-9.444316107512398
Bond,2010,125,127,1.3690094814581544,5.139105120419757,-3.7700956389616023
Bond,2011,124,128,3.535256159872159,6.2590378375785845,-2.7237816777064254
Bond,2012,123,127,0.9581035705028719,3.8315342531843752,-2.8734306826815037
Bond,2013,123,129,1.033288283973693,-2.794146740543517,3.8274350245172104
Bond,2014,123,129,4.540698371642438,2.484860615470581,2.0558377561718566
Bond,2015,124,128,-0.25162137046694727,-0.958941909453559,0.7073205389866117
Bond,2016,124,128,2.2290225638620926,2.117370401607949,0.11165216225414411
Bond,2017,122,129,2.6134847514261357,1.867726447603577,0.7457583038225586
Bond,2018,122,129,-0.6627726631797525,-0.42895882117227613,-0.23381384200747632
Bond,2019,123,129,3.7701123773095175,5.451388080979074,-1.6812757036695567
Bond,2020,125,128,6.488052721357056,1.4203120792525723,5.067740642104484
Bond,2021,125,127,-2.7691348069045008,2.2627838967718503,-5.031918703676351
Bond,2022,124,127,-7.21674909000662,-6.561123999170343,-0.6556250908362771
Bond,2023,122,128,12.205965337326612,-5.934975579471465,18.140940916798076
Bond,2024,124,128,-3.6405708558346266,4.568476839700061,-8.209047695534688
Bond,2025,122,128,1.9936722709833734,3.161479160375285,-1.1678068893919118
Bond,2026,82,30,0.33128012450445643,2.0962419560488224,-1.7649618315443658
Commodity,2007,49,129,4.551246060452022,11.201335153027646,-6.650089092575624
Commodity,2008,124,129,7.834245403918456,-28.17894688106923,36.01319228498769
