date,vol_pctile_SPY,vol_pctile_EEM,vol_pctile_EWJ,vol_pctile_XLE,vol_pctile_XLU,vol_pctile_TLT,vol_pctile_SHY,vol_pctile_LQD,vol_pctile_HYG,vol_pctile_USO,vol_pctile_UNG,vol_pctile_GLD,vol_pctile_DBA,vol_pctile_UUP,vol_pctile_FXY,vol_pctile_VNQ,vol_pctile_RWX,er_SPY,er_EEM,er_EWJ,er_XLE,er_XLU,er_TLT,er_SHY,er_LQD,er_HYG,er_USO,er_UNG,er_GLD,er_DBA,er_UUP,er_FXY,er_VNQ,er_RWX,port_vol,port_vol_pctile,cross_asset_dispersion
1996-07-05,0.740741,,,,,,,,,,,,,,,,,0.017972,,0.070708,,,,,,,,,,,,,,,0.0927,0.478836,0.014275
1996-07-08,0.747354,,,,,,,,,,,,,,,,,0.057752,,0.051547,,,,,,,,,,,,,,,0.093595,0.5,0.006305
1996-07-09,0.694444,,,,,,,,,,,,,,,,,0.08124,,0.085107,,,,,,,,,,,,,,,0.092407,0.474868,0.01202
1996-07-10,0.68254,,,,,,,,,,,,,,,,,0.151324,,0.075269,,,,,,,,,,,,,,,0.091533,0.46164,0.004108
1996-07-11,0.824074,,,,,,,,,,,,,,,,,0.086583,,0.104167,,,,,,,,,,,,,,,0.097323,0.588624,0.006066
1996-07-12,0.821429,,,,,,,,,,,,,,,,,0.054886,,0.104167,,,,,,,,,,,,,,,0.097298,0.588624,0.001112
1996-07-15,0.920635,,,,,,,,,,,,,,,,,0.054881,,0.134022,,,,,,,,,,,,,,,0.104344,0.677249,0.010697
1996-07-16,0.920635,,,,,,,,,,,,,,,,,0.056278,,0.12245,,,,,,,,,,,,,,,0.10342,0.667989,0.006388
1996-07-17,0.920635,,,,,,,,,,,,,,,,,0.016214,,0.102041,,,,,,,,,,,,,,,0.096254,0.566138,0.00345
1996-07-18,0.920635,,,,,,,,,,,,,,,,,0.016592,,0.069308,,,,,,,,,,,,,,,0.101646,0.648148,0.008377
1996-07-19,0.92328,,,,,,,,,,,,,,,,,0.009066,,0.128713,,,,,,,,,,,,,,,0.102926,0.666667,0.011294
1996-07-22,0.924603,,,,,,,,,,,,,,,,,0.048508,,0.250001,,,,,,,,,,,,,,,0.104559,0.679894,0.017679
1996-07-23,0.929894,,,,,,,,,,,,,,,,,0.087731,,0.208333,,,,,,,,,,,,,,,0.104266,0.674603,0.002936
1996-07-24,0.929894,,,,,,,,,,,,,,,,,0.073787,,0.3,,,,,,,,,,,,,,,0.10723,0.715608,0.012102
1996-07-25,0.935185,,,,,,,,,,,,,,,,,0.062434,,0.254903,,,,,,,,,,,,,,,0.109928,0.747354,0.007867
1996-07-26,0.935185,,,,,,,,,,,,,,,,,0.053932,,0.242719,,,,,,,,,,,,,,,0.11106,0.765873,0.013141
